"node_id","project_id","vsn","address","lat","lon","description","start_timestamp","end_timestamp"
"001e0610ba46","AoT_Chicago","004","State St & Jackson Blvd Chicago IL","41.878377","-87.627678","AoT Chicago (S) [C]","2017/10/09 00:00:00",
"001e0610ba13","AoT_Chicago","01C","7801 S Lawndale Ave Chicago IL","41.751238","-87.71299","AoT Chicago (S) [C] {ComEd}","2018/01/01 00:00:00",
"001e0610bc10","AoT_Chicago","01F","State St & 87th Chicago IL","41.736314","-87.624179","AoT Chicago (S) [C]","2018/02/22 00:00:00",
"001e0610ba15","AoT_Chicago","02A","Jeffrey Ave & 95th St Chicago IL","41.722457","-87.57535","AoT Chicago (S) [C]","2018/02/22 00:00:00",
"001e0610bbe5","AoT_Chicago","02C","Martin Luther King Dr & 87th St Chicago IL","41.736495","-87.614529","AoT Chicago (S) [C]","2018/02/16 00:00:00",
"001e0610ee36","AoT_Chicago","051","Cottage Grove Ave & 79th St Chicago IL","41.751295","-87.605288","AoT Chicago (S) [C]","2018/02/22 00:00:00",
"001e0610ee5d","AoT_Chicago","056","Long Ave & Fullerton Ave Chicago IL","41.923996","-87.761072","AoT Chicago (S) [C]","2018/02/23 00:00:00",
"001e06113ad8","AoT_Chicago","062","Ashland Ave & Roosevelt Rd Chicago IL","41.866786","-87.666306","AoT Chicago (S) [C]","2018/02/27 00:00:00",
"001e0611441e","AoT_Chicago","067","Ashland Ave & 47th Chicago IL","41.808594","-87.665048","AoT Chicago (S) [C]","2018/02/27 00:00:00",
"001e06112e77","AoT_Chicago","06B","Ashland Ave & 59th St Chicago IL","41.786756","-87.664343","AoT Chicago (S) [C]","2018/02/26 00:00:00",
"001e0610f6db","AoT_Chicago","06D","Hutchinson Commons UChicago Chicago IL","41.791329","-87.598677","AoT Chicago (S) [C] {UChicago}","2018/03/15 00:00:00",
"001e06113107","AoT_Chicago","072","7801 S Lawndale Ave Chicago IL","41.751142","-87.71299","AoT Chicago (S) [CA] {ComEd}","2017/01/01 00:00:00",
"001e06113ace","AoT_Chicago","077","Martin Luther King Dr & 35th St Chicago IL","41.83107","-87.617298","AoT Chicago (S) [C]","2018/03/08 00:00:00",
"001e06113a24","AoT_Chicago","07A","UChicago, Oriental Museum Chicago IL","41.788979","-87.597995","AoT Chicago (S) [C] {UChicago}","2018/04/12 00:00:00",
"001e061144cd","AoT_Chicago","07B","Ashland Ave & Harrison St Chicago IL","41.8742","-87.666599","AoT Chicago (S) [C]","2018/05/31 00:00:00",
"001e061146cb","AoT_Chicago","07C","606 Path & Miwaukee Ave Chicago IL","41.9140942","-87.683022","AoT Chicago (S) [C]","2018/01/11 00:00:00",
"001e0610f703","AoT_Chicago","07F","Damen Ave & Polk St Chicago IL","41.87148","-87.67644","AoT Chicago (S) [C]","2018/02/06 00:00:00",
"001e0611462f","AoT_Chicago","081","Wallace St & Pershing Rd Chicago IL","41.823527","-87.641054","AoT Chicago (S) [C]","2018/02/27 00:00:00",
"001e0610e538","AoT_Chicago","087","Cottage Grove Ave & 87th St Chicago IL","41.736593","-87.604759","AoT Chicago (S) [C]","2018/02/16 00:00:00",
"001e061130f4","AoT_Chicago","089","Chicago Ave & Noble St Chicago IL","41.896157","-87.662391","AoT Chicago (S) [C]","2018/02/06 00:00:00",
"001e0610ee43","AoT_Chicago","08B","UChicago Chicago IL","41.788608","-87.598713","AoT Chicago (S) [C] {UChicago}","2018/02/23 00:00:00",
"001e0610f05c","AoT_Chicago","08C","Western Ave & Fullerton Ave Chicago IL","41.924903","-87.687703","AoT Chicago (S) [C]","2018/02/07 00:00:00",
"001e0610f732","AoT_Chicago","08D","Cicero Ave & Chicago Ave Chicago IL","41.895005","-87.745817","AoT Chicago (S) [C]","2018/02/05 00:00:00",
"001e06113d20","AoT_Chicago","094","Ohio St & Grand Ave Chicago IL","41.8920031","-87.6116431","AoT Chicago (S) [C]","2018/05/17 00:00:00",
"001e06113acb","AoT_Chicago","09D","Ashland Ave & 31st Pl Chicago IL","41.839066","-87.665685","AoT Chicago (S) [C]","2018/04/12 00:00:00",
"001e061146ba","AoT_Chicago","0A3","Long Ave & Lawrence Ave Chicago IL","41.96759","-87.76257","AoT Chicago (S) [P]","2018/03/15 00:00:00",
"001e0611536c","AoT_Chicago","0AA","Dearborn St & Lake St Chicago IL","41.88575","-87.62969","AoT Chicago (S) [P]","2018/05/08 00:00:00",
"001e0611850f","AoT_Chicago","0AF","111th St & Martin Luther King Dr Chicago IL","41.692837","-87.613419","AoT Chicago (S) [CP]","2019/06/24 00:00:00",
"001e061184a3","AoT_Chicago","0B4","99th St & Beverly Blvd Chicago IL","41.714021","-87.659612","AoT Chicago (S) [CP]","2019/06/25 00:00:00",
"001e06117b44","AoT_Chicago","0B5","95th St & Ashland Ave Chicago IL","41.721301","-87.66263000000002","AoT Chicago (S) [CP]","2019/06/25 00:00:00",
